1   NORMAL
 4
T1  0.100 0.100 0.0 8
T2  0.200 0.200 0.0 7
T3  0.400 0.400 0.0 6
T4  0.800 0.800 0.0 5
:BODY
MODE_CHANGE		NORMAL		 0.003230000
STOP_TASK		T2		 4.882386000
START_TASK		T3		 4.882412000
START_TASK		T1		 4.903268000
STOP_TASK		T1		 4.929565000
STOP_TASK		T3		 4.988088000
START_TASK		T1		 5.003332000
STOP_TASK		T1		 5.029127000
START_TASK		T2		 5.029232000
STOP_TASK		T2		 5.083173000
START_TASK		T1		 5.103340000
STOP_TASK		T1		 5.124503000
START_TASK		T1		 5.203276000
STOP_TASK		T1		 5.227888000
START_TASK		T2		 5.227909000
STOP_TASK		T2		 5.266425000
START_TASK		T3		 5.266443000
START_TASK		T1		 5.303329000
STOP_TASK		T1		 5.324484000
STOP_TASK		T3		 5.347495000
STOP_TASK		T4		 5.385605000
START_TASK		T4		 5.385620000
START_TASK		T1		 5.403331000
STOP_TASK		T1		 5.425720000
START_TASK		T2		 5.425741000
STOP_TASK		T2		 5.466995000
START_TASK		T1		 5.503299000
STOP_TASK		T1		 5.528453000
START_TASK		T1		 5.603270000
STOP_TASK		T1		 5.622076000
START_TASK		T2		 5.622095000
STOP_TASK		T2		 5.659604000
START_TASK		T3		 5.659620000
START_TASK		T1		 5.703312000
STOP_TASK		T1		 5.722556000
STOP_TASK		T3		 5.736707000
START_TASK		T1		 5.803317000
STOP_TASK		T1		 5.824730000
START_TASK		T2		 5.824748000
STOP_TASK		T2		 5.862153000
START_TASK		T1		 5.903317000
STOP_TASK		T1		 5.925405000
STOP_TASK		T4		 5.994054000
START_TASK		T4		 5.994073000
START_TASK		T1		 6.003341000
STOP_TASK		T1		 6.024847000
START_TASK		T2		 6.024866000
STOP_TASK		T2		 6.067803000
START_TASK		T3		 6.067830000
START_TASK		T1		 6.103336000
STOP_TASK		T1		 6.126653000
STOP_TASK		T3		 6.152759000
START_TASK		T1		 6.203321000
STOP_TASK		T1		 6.222274000
START_TASK		T2		 6.222293000
STOP_TASK		T2		 6.260265000
START_TASK		T1		 6.303264000
STOP_TASK		T1		 6.322103000
START_TASK		T1		 6.403262000
STOP_TASK		T1		 6.422069000
START_TASK		T2		 6.422087000
STOP_TASK		T2		 6.463577000
START_TASK		T3		 6.463593000
START_TASK		T1		 6.503259000
STOP_TASK		T1		 6.522180000
STOP_TASK		T3		 6.538670000
START_TASK		T1		 6.603301000
STOP_TASK		T1		 6.623778000
START_TASK		T2		 6.623810000
STOP_TASK		T2		 6.671382000
START_TASK		T1		 6.703263000
STOP_TASK		T1		 6.725054000
STOP_TASK		T4		 6.735940000
START_TASK		T4		 6.735967000
START_TASK		T1		 6.803330000
STOP_TASK		T1		 6.824526000
