1   NORMAL
4
T1  0.040 0.040 0.0 4
T2  0.050 0.050 0.0 3
T3  0.200 0.200 0.0 2
T4  0.200 0.200 0.0 1
:BODY
MODE_CHANGE		NORMAL		 0.003021000
START_TASK		T1		 1.643555000
STOP_TASK		T1		 1.652902000
START_TASK		T2		 1.663594000
STOP_TASK		T2		 1.682871000
START_TASK		T1		 1.683649000
STOP_TASK		T1		 1.693822000
START_TASK		T2		 1.703598000
STOP_TASK		T2		 1.720178000
START_TASK		T1		 1.723642000
STOP_TASK		T1		 1.734455000
START_TASK		T4		 1.743839000
STOP_TASK		T4		 1.763957000
START_TASK		T2		 1.764009000
STOP_TASK		T2		 1.780014000
START_TASK		T1		 1.783848000
STOP_TASK		T1		 1.794222000
START_TASK		T1		 1.803670000
STOP_TASK		T1		 1.817313000
START_TASK		T3		 1.817320000
STOP_TASK		T3		 1.826567000
START_TASK		T2		 1.826620000
STOP_TASK		T2		 1.842574000
START_TASK		T1		 1.843580000
STOP_TASK		T1		 1.853790000
START_TASK		T2		 1.864371000
STOP_TASK		T2		 1.882930000
START_TASK		T1		 1.883625000
STOP_TASK		T1		 1.893348000
START_TASK		T2		 1.903642000
STOP_TASK		T2		 1.925752000
START_TASK		T1		 1.925810000
STOP_TASK		T1		 1.934706000
START_TASK		T4		 1.943900000
STOP_TASK		T4		 1.964086000
START_TASK		T2		 1.964157000
STOP_TASK		T2		 1.981410000
START_TASK		T1		 1.984095000
STOP_TASK		T1		 1.994177000
